"","Date","Latitude","Longitude","Acres","County","AgencyCode","Source","DDLat","DDLon","ORIG_OID"
"1",2018-03-29,22.09122085,-159.3077886,0.01,"Kauai","2018_KA_1801618"," ","22.09122085N","159.30778861W",1686
"2",2020-09-04,22.088707,-159.307549,0.25,"Kauai","2020_KA_2003936"," ","22.08870700N","159.30754900W",1687
"3",2011-07-27,22.1437302,-159.3072662,0.1,"Kauai","KA299","Kauai County","22.14373020N","159.30726620W",1688
"4",2005-05-29,22.1525021,-159.307251,0.5,"Kauai","KA300","Kauai County","22.15250210N","159.30725100W",1689
"5",2010-06-24,22.0935249,-159.3072205,0.01,"Kauai","KA798","Kauai County","22.09352490N","159.30722050W",1690
"6",2019-08-24,22.090254,-159.307218,0.25,"Kauai","2019_KA_1904458"," ","22.09025400N","159.30721800W",1691
"7",2019-09-25,22.090201,-159.30721,0.01,"Kauai","2019_KA_1905049"," ","22.09020100N","159.30721000W",1692
"8",2010-05-26,22.0934753,-159.3071289,0.1,"Kauai","KA799","Kauai County","22.09347530N","159.30712890W",1693
"9",2010-10-04,22.1478615,-159.3070984,0.01,"Kauai","KA800","Kauai County","22.14786150N","159.30709840W",1694
"10",2018-03-10,22.092568,-159.306978,0.05,"Kauai","2018_KA_1801269"," ","22.09256800N","159.30697800W",1695
"11",2020-05-13,22.093114,-159.3069,0.1,"Kauai","2020_KA_2002261"," ","22.09311400N","159.30690000W",1696
"12",2010-01-14,22.0926685,-159.3068848,0.1,"Kauai","KA803","Kauai County","22.09266850N","159.30688480W",1697
"13",2018-02-09,22.093066,-159.306826,0.01,"Kauai","2018_KA_1800735"," ","22.09306600N","159.30682600W",1698
"14",2001-08-05,22.11866,-159.3068237,2,"Kauai","XX77","DOFAW","22.11866000N","159.30682370W",1699
"15",2009-07-06,22.0911102,-159.3068237,0.01,"Kauai","KA804","Kauai County","22.09111020N","159.30682370W",1700
"16",2010-01-05,22.0924301,-159.3068085,0.1,"Kauai","KA805","Kauai County","22.09243010N","159.30680850W",1701
"17",2020-09-06,22.092532,-159.306807,0.1,"Kauai","2020_KA_2003982"," ","22.09253200N","159.30680700W",1702
"18",2020-09-07,22.092532,-159.306807,0.1,"Kauai","2020_KA_2003985"," ","22.09253200N","159.30680700W",1703
"19",2020-09-10,22.092578,-159.306802,0.02,"Kauai","2020_KA_2004039"," ","22.09257800N","159.30680200W",1704
"20",2020-04-14,22.092691,-159.306774,0.01,"Kauai","2020_KA_2001866"," ","22.09269100N","159.30677400W",1705
"21",2020-10-08,22.092638,-159.306772,0.01,"Kauai","2020_KA_2004451"," ","22.09263800N","159.30677200W",1706
"22",2009-12-04,22.0922699,-159.3067627,0.1,"Kauai","KA806","Kauai County","22.09226990N","159.30676270W",1707
"23",2020-02-28,22.091315,-159.306697,0.01,"Kauai","2020_KA_2001164"," ","22.09131500N","159.30669700W",1708
"24",2001-08-05,22.1186008,-159.3066864,5,"Kauai","XX76","DOFAW","22.11860080N","159.30668640W",1709
"25",2020-06-03,22.092535,-159.306654,0.01,"Kauai","2020_KA_2002553"," ","22.09253500N","159.30665400W",1710
"26",2020-06-04,22.092535,-159.306654,0.01,"Kauai","2020_KA_2002577"," ","22.09253500N","159.30665400W",1711
"27",2020-06-22,22.09257,-159.306645,0.01,"Kauai","2020_KA_2002835"," ","22.09257000N","159.30664500W",1712
"28",2006-05-31,22.1524715,-159.3066406,0.1,"Kauai","KA301","Kauai County","22.15247150N","159.30664060W",1713
"29",2010-06-07,22.0950909,-159.3066406,0.1,"Kauai","KA807","Kauai County","22.09509090N","159.30664060W",1714
