Day,Month,Year,Latitude,Longitude,Acres,County,AgencyCode,Source,DDLat,DDLon,ORIG_OID
11,8,2018,21.477772,-158.220897,0.01,Oahu,2018_OA_0048014, ,21.47777200N,158.22089700W,2262
12,8,2019,21.477772,-158.220897,0.01,Oahu,2019_OA_0050986, ,21.47777200N,158.22089700W,2263
16,1,2001,21.4811325,-158.2204285,0.1,Oahu,OA274,Honolulu Fire Dept,21.48113250N,158.22042850W,2264
20,4,2001,21.4811325,-158.2204285,0.1,Oahu,OA275,Honolulu Fire Dept,21.48113250N,158.22042850W,2265
19,9,2010,21.4768734,-158.2199097,4,Oahu,OA307,Honolulu Fire Dept,21.47687340N,158.21990970W,2266
1,10,2009,21.4768734,-158.2199097,0.1,Oahu,OA305,Honolulu Fire Dept,21.47687340N,158.21990970W,2267
2,5,2010,21.4768734,-158.2199097,0.1,Oahu,OA306,Honolulu Fire Dept,21.47687340N,158.21990970W,2268
30,3,2009,21.47686,-158.2199097,9,Oahu,OA304,Honolulu Fire Dept,21.47686000N,158.21990970W,2269
4,7,2005,21.47686,-158.2199097,2,Oahu,OA286,Honolulu Fire Dept,21.47686000N,158.21990970W,2270
5,5,2007,21.47686,-158.2199097,0.5,Oahu,OA297,Honolulu Fire Dept,21.47686000N,158.21990970W,2271
19,7,2002,21.47686,-158.2199097,0.2,Oahu,OA279,Honolulu Fire Dept,21.47686000N,158.21990970W,2272
19,5,2003,21.47686,-158.2199097,0.2,Oahu,OA280,Honolulu Fire Dept,21.47686000N,158.21990970W,2273
4,7,2003,21.47686,-158.2199097,0.2,Oahu,OA281,Honolulu Fire Dept,21.47686000N,158.21990970W,2274
3,6,2006,21.47686,-158.2199097,0.2,Oahu,OA289,Honolulu Fire Dept,21.47686000N,158.21990970W,2275
9,7,2006,21.47686,-158.2199097,0.2,Oahu,OA292,Honolulu Fire Dept,21.47686000N,158.21990970W,2276
29,10,2001,21.47686,-158.2199097,0.1,Oahu,OA276,Honolulu Fire Dept,21.47686000N,158.21990970W,2277
11,11,2001,21.47686,-158.2199097,0.1,Oahu,OA277,Honolulu Fire Dept,21.47686000N,158.21990970W,2278
16,7,2002,21.47686,-158.2199097,0.1,Oahu,OA278,Honolulu Fire Dept,21.47686000N,158.21990970W,2279
18,7,2003,21.47686,-158.2199097,0.1,Oahu,OA282,Honolulu Fire Dept,21.47686000N,158.21990970W,2280
1,10,2003,21.47686,-158.2199097,0.1,Oahu,OA283,Honolulu Fire Dept,21.47686000N,158.21990970W,2281
22,8,2004,21.47686,-158.2199097,0.1,Oahu,OA284,Honolulu Fire Dept,21.47686000N,158.21990970W,2282
7,6,2005,21.47686,-158.2199097,0.1,Oahu,OA285,Honolulu Fire Dept,21.47686000N,158.21990970W,2283
8,1,2006,21.47686,-158.2199097,0.1,Oahu,OA287,Honolulu Fire Dept,21.47686000N,158.21990970W,2284
14,5,2006,21.47686,-158.2199097,0.1,Oahu,OA288,Honolulu Fire Dept,21.47686000N,158.21990970W,2285
24,6,2006,21.47686,-158.2199097,0.1,Oahu,OA290,Honolulu Fire Dept,21.47686000N,158.21990970W,2286
4,7,2006,21.47686,-158.2199097,0.1,Oahu,OA291,Honolulu Fire Dept,21.47686000N,158.21990970W,2287
13,7,2006,21.47686,-158.2199097,0.1,Oahu,OA293,Honolulu Fire Dept,21.47686000N,158.21990970W,2288
24,7,2006,21.47686,-158.2199097,0.1,Oahu,OA294,Honolulu Fire Dept,21.47686000N,158.21990970W,2289
23,9,2006,21.47686,-158.2199097,0.1,Oahu,OA295,Honolulu Fire Dept,21.47686000N,158.21990970W,2290
30,4,2007,21.47686,-158.2199097,0.1,Oahu,OA296,Honolulu Fire Dept,21.47686000N,158.21990970W,2291
10,6,2007,21.47686,-158.2199097,0.1,Oahu,OA298,Honolulu Fire Dept,21.47686000N,158.21990970W,2292
19,7,2007,21.47686,-158.2199097,0.1,Oahu,OA299,Honolulu Fire Dept,21.47686000N,158.21990970W,2293
31,10,2007,21.47686,-158.2199097,0.1,Oahu,OA300,Honolulu Fire Dept,21.47686000N,158.21990970W,2294
23,4,2008,21.47686,-158.2199097,0.1,Oahu,OA301,Honolulu Fire Dept,21.47686000N,158.21990970W,2295
17,10,2008,21.47686,-158.2199097,0.1,Oahu,OA302,Honolulu Fire Dept,21.47686000N,158.21990970W,2296
18,11,2008,21.47686,-158.2199097,0.1,Oahu,OA303,Honolulu Fire Dept,21.47686000N,158.21990970W,2297
20,1,2013,21.476874,-158.219907,0.1,Oahu,2013_OA_0004394, ,21.47687400N,158.21990700W,2298
